name,genre,summary
European Mystery: Flowers of Death - Collector's Edition,Adventure,Toxic flowers have been claiming victims and withering plant life in the Netherlands Can you cultivate the answers to this mystery
FIFA Manager 11,Simulator Sport,EAs SoccerFootball Manager game for the 1011 season
Eli,Shooter Indie Arcade,A small Bullet hell about shooting demons
Every Day the Same Dream,Puzzle Adventure Indie,Every Day the Same Dream is a short 2D art game that puts the player in the role of a man whose life is about to change The player must deviate from the predetermined path to finish the game
Eramthgin,Shooter Indie,Eramthgin was a game made in 2 weeks using the DC Tech Three game engine and was originally released on halloween of 2011 on yoyogames
EverQuest: Dragons of Norrath,Role-playing (RPG),Dragons of Norrath is the ninth expansion for the popular MMORPG franchise EverQuest
Eat the Wounded,Adventure Indie,This is a zombie survival open world game with voxel mechanics crafting and building components
Exit 19,Indie,Night approaches Take a walk down Exit 19
Escalation!,Adventure Indie Visual Novel,A visual novel with 3D model animation featuring BDSM Bondage Domination Sadism and Masochism
Fantasylandia World,Simulator Strategy Adventure Indie,Fantasylandia World is a big open world map which takes you back about 4000 years ago
Four Eyes,Puzzle Adventure Indie,Boy meets alien in a storydriven scifi adventure
Fear of the Dark,Adventure Indie,Fear Of The Dark is a retro 16BIT tribute to classic survival horror games from the late 90s
Fist Slash: Of Ultimate Fury,Indie,Part man part blade all badass  help Fist Slash defeat the evil Dr X and recover the mystical mirror shards before theyre used to wreak ultimate destruction on the world
Fast Food Mania,Strategy,Fast Food Mania its a time management game in which you race all over the town delivering orders to hungry customers
Fantasy Blacksmith: Escape from the Forge,Simulator Indie,Enjoy 4 new locations teleportation new resources and ores for mining
Fall Guys: Stunning Sealife Pack,Platform,Make waves in your next Show with these deep sea delights  Includes Pinchy McNab Whole Costume U Jelly Whole Costume Pumped Up Puffer Whole Costume 2000 x ShowBucks
Flying Girls,Adventure Indie,Flying Girls is a horizontal shooting game with classical Chinese ink painting style
Friday Night Funkin': CG5 Edition,Music,Youve finally made it to the big leagues of the music world but of course theres a twist To prove your worth you have to beat the prolific CG5 in a battle of lyrical wits Show him what you got
Flap Demon,Indie,A difficult precision platformer where your only form of movement is flapping
Frqncy,Racing Indie,Select your ship choose  stream your music and fly a level dynamically generated to the music See where you rank in the global online leaderboards
Fried Panic,Indie,Survive as long as possible in Fried Panic Buy weapons abilities and even donut producing machines Fight through waves of eggs lemons chicken drumsticks and much more all in a top down pixel art style
Fallen Hero: Retribution,Adventure Indie,So youre a villain now Lets see if you survive the experience
Friendly Bunny Mochi,Role-playing (RPG),FRIENDLY BUNNY MOCHI is the sequel to LONELY WOLF TREAT this story follows mochi on her mission to get everyone to be friends even a fox whos very insistent on eating her for dinner
Food Monster and Animals Memory Match,Simulator Sport Strategy Adventure Indie,Food Monster and Animals Memory Match game is a classic board game which help you develop yout memory skills Playing this matching game will help you improve your recognition while having fun
Flipper Hazard,Indie,Flipper Hazard is new and challenging game with 15 different levels It offers hours of fun with many different missions
Februus Depth,Shooter,Large underground catacomb level
Find the Cats,Adventure,Cat Lady has lost all of her cats Please find them for her This is a short and easy kidfriendly 3D hidden object game with over a hundred cats to find spread over several areas
Fantasyland,Role-playing (RPG) Strategy Adventure Indie,Fantasyland from one of the four ancient China masterpiece Dream of the Red Chamber
Fewar-DVD,Indie Arcade,A rapid arcade game Avoid the swords Find the key Enter the portal
Freight Hopper,Platform Arcade,A fast paced platformer where you jump from train to train
Funny Pizza Land,Adventure Indie,Funny Pizza Land is a dark and surreal adventure game in which a pizzeria owner named Pedro seeks the infamous GlobalMediaMonster
Forza Horizon 5: Expansions Bundle,Racing,The Forza Horizon 5 Expansions Bundle includes two expansions Each expansion will introduce a new location vehicles and gameplay
Forgotten Heroes,Role-playing (RPG) Strategy,Forgotten Heroes Online  its roleplaying turnbased online strategy with addictive gameplay good graphics and excellent strategic component You will fight other players in real time
Forza Motorsport 7: Deluxe Edition,Racing,The Forza Motorsport 7 Deluxe Edition includes the Day One Car Pack and VIP membership Buy the Forza Motorsport 7 Deluxe Edition and receive two custom driver gear
Feathered Run,Adventure Indie,Feathered Run is a 4button precision platformerrunner with 2D graphics Embark on an exciting escape through Antarctica Playing as one of the seemingly helpless penguins
Fortnite: Chapter 2 - Season 3,Shooter,Explore the Fortilla and build your own umbrella New bonuses and 1500VBucks back
Fragment's Moonrise,Role-playing (RPG) Strategy Adventure Indie,Fragments Moonrise is a randomlygenerated openworld Real Time Strategy game emphasizing skill based and micromanagement oriented RTSstyle gameplay
Final Nights 4: Fates Entwined,Point-and-click Strategy Indie,The untold stories of Final Nights  In Final Nights 4 you will explore the original Fredbears Family Diner and much more from 2 different perspectives
From Dusk Till Dawn,Shooter,A quasi sequel based on the 1996 horror action film From Dusk Till Dawn by Robert Rodriguez and that takes place directly after the events of the first film Made by French Developer Cryo
Frog King,Platform,A small platformer game about frog and crown
Firelight Fantasy: Phoenix Crew,Adventure Indie,Firelight Fantasy Phoenix Crew is a spectacular thirdperson sword fighting game based on Scandinavian mythology
Grim Tales: Bloody Mary - Collector's Edition,Adventure,Save your niece from the evil presence haunting her school
Go For a Walk,Indie,Go For a Walk through a world made of music with your canine companion
Galaxy Ball,Racing Simulator Adventure,Roll the ball through track overcome obstacles collect bonuses and conquer the space
Gem Legends,Puzzle,Ancient China themed block matching game
Golden Rails: Road to Klondike,Strategy Adventure Indie,Theres a gold rush coming and its your job to pave the way Guide Jack and Jill as they rebuild rundown villages and breathe new life into a barren land Its as easy as a few clicks of your mouse
Glass,Adventure Indie,Bring together desires that are scattered into bits and pieces And discover the secrets of the World of Glass
Ganzworker,Shooter Indie,Ganzworker  truly oldschool style of gameplay For all classic FPS lover
Grimoire: Manastorm,Shooter Indie,Grimoire is a multiplayer mage FPS where unique spells put a twist on classic shooter action Scorch your enemies vanish into thin air or turn to stone with dozens of powerful spells at your fingertips
Ghost of Tomorrow: Chapter 1,Simulator Indie,Experience a horrifying timetraveling adventure in Ghost of Tomorrow
Griddlers: Beach Season,Puzzle,Its time for adventures at sea with Griddlers Beach Season 120 unique griddlers will make your vacation even more fun
Gun-Reviper,Shooter Indie Arcade,This is a 25D vertical scrolling shooting game Use your ingenuity to fight your way to a high score
Gred,Adventure Indie,A young child from a road sign has been lost and your goal is to find him  Incarn BOTH green and red light men and use their powers to switch time and voyage through multiple environments to save him
Green Marquis,Adventure Indie,Green Marquis can change gravity Use the geometry of the level to solve puzzles
Furious Angels,Indie,Shred the skies to pieces in Furious Angels an endless shooter with flying tanks leaderboards and different waves each day
Gear Puzzle: the inheritance of grandpa,Adventure Indie,Carl is an ordinary teenager who works in a mechanical factory far from home for a living To celebrate his sisters birthday he returned home and met two unkind people The story began
Gunmancer,Indie,Gunmancer is a science fantasy roguelike topdown shooter Summon guns as you shoot your way through mysterious randomly generated dungeons full of ancient forbidden magic of guns and dangerous monsters
Furry Chronicles,Adventure Indie,Furry Chronicles is a classic sidescrolling platformer game with challenging levels and puzzles
Good Goliath,Adventure,Do battle with a miniature angry mob in this fun arcadestyle adventure for PS VR
Grand Prix Manager 2,Racing Simulator,In Grand Prix Manager the player is tasked with building and managing an F1 team for 40 years
Goddess of Card War,Strategy Adventure Indie,Goddess of Card War is a card game with classical Chinese graphics
Guilty Gear: Strive - Season Pass 2,Fighting,Season Pass 2 includes 4 characters 2 stages and a color pack with 6 variations for the new characters
Golden Rails: Small Town Story,Strategy Adventure Indie,Tame the Wild West in a riproaring adventure for all ages The Old West meets the New Frontier as you build a railroad that stretches across America and fight to put a triggerhappy bandit behind bars
Godfield,Turn-based strategy (TBS) Card & Board Game,Godfield is a turnbased card battle game with up to nine players
Gloomy Eyes,Adventure Indie,With the voice of Colin Farrell Gloomy Eyes narrates the story of the sun who got tired of the humans and decided to hide and never rise againGloomy Eyes is an animated VRseries in 6DoF  3D real time
Gunkour,Shooter Indie,GunKour is a fast paced 8 player FPS game Each character has a unique ability to defeat their opponents All levels are uniquely designed to support wall running triple jumping and wall hopping
Gender Dysphoria,Simulator Indie,A short 20 minute nonlinear narrative game about negative experiences after coming out as transgender
Gnrblex,Adventure Indie,Can you keep the Gnrblexian Mind Maggot a parasitic creature that feeds on human brain energy from going extinct Do you want to but why
Gloom,Shooter Real Time Strategy (RTS) Strategy,Classed based arena shooterstrategy hybrid for Quake II that pits aliens against humans Draws many parallels to the HalfLife TC Natural Selection
Genesia Legacy: Ultimate Domain,Strategy Indie,Successor of old school games Genesia Legacy is a challenging and punitive turnbased strategy game easy to learn but hard to master
Grim Tales: Echo of the Past - Collector's Edition,Adventure,Whos puppeteering the past
Gears N Gators,Indie,Players face off in a ring to see who can eat the most chickens before the timer runs out while avoiding the moving gears
Gem Defender: Soyjak Survivors,Strategy Indie,Follow Chud on his fight against Dr Soysteins jak army in this spinetingling survival shooter
Graveyard,Point-and-click Puzzle Adventure,Short game about three kids trying to save a friend  Dave Phil and Clarence will have to cooperate to reach their goal and save their friend Ron from a gruesome fate  Entry for MAGS September 2016
Grim Facade: Sinister Obsession - Collector's Edition,Adventure,Can you uncover the truth before you become the next page in the killers diary
Hidden Water,Indie,Find the objects that are hidden on the map
Hidden Expedition: The Pearl of Discord - Collector's Edition,Adventure,A powerful artifact is in the wrong hands and youre the only one who can stop a whole city from being consumed by hate
Haunted House: The Murder,Adventure,Haunted House The Murder is an interactive Horror Game You decide where to go
HoCWar,Strategy,Immerse yorself into the harsh world of ruthless card battles
Haunting Hollow,Shooter,Haunting Hollow is a new episode of spooky gothic maps for Doom 2 designed for limit removing source ports made by various members of Doomer Boards lead by 40oz
Haram,Indie,A short narrative walking simulator inspired by the photography of Andres Serrano
Half-Life 2: MMod - Half-Life 2: Episode One,Shooter Adventure,This mod allows HalfLife 2 Episode One to be run under MMod
Hedgie Simulator,Simulator Indie,Trapped within the offices of a large hedge fund called Sipadel Finance Its your job to take a sip and make the apes dip
Hardlight,Shooter Simulator Strategy Indie,A three week prototype of a Cyberpunk inspired point defense shooter
Hellbender,Shooter,Hellbender is a simulation video game developed by Terminal Reality and published by Microsoft Studios for Windows 95 It is the sequel to Fury3
Hexcells,Puzzle Strategy Indie,Hexcells is an ambient logic puzzle game in the vein of minesweeper
Hexed,Role-playing (RPG) Strategy Indie,Hexed is a short RPG game with themes of extreme violence strong language and distressing situations
Head North,Platform Puzzle Simulator Strategy Adventure Indie,Welcome To Head North A TopDown FastPaced Puzzle Platformer where you guide our protagonist Fell north by using the ancient power known as Earth Shifting  How far north will you get
Highlands,Role-playing (RPG) Strategy Indie,Highlands is a handdrawn turnbased strategy game with unique characters resource management and RPG elements where the focus is directed toward decisionmaking
Half Hour Hexagon,Indie,Obliterate a neverending horde of enemies while you attempt to reach the 30 minute mark Race to earn XP and level up to gain new items and opportunities for each run to become stronger than the last
Halloween Stories: The Neglected Dead - Collector's Edition,Adventure,Sometimes Seeing is Believing
Half-Life 2: MMod - Minerva,Shooter Adventure,This is a mod to run the existing HalfLife 2 mod Minerva 2013 via HalfLife 2 MMod
Helltower,Adventure Indie,Helltower is a challenging retro style action platformer Ascend the tower to discover the fiendish traps and gruesome creatures lurking above Can you get to the top
HikeJam,Adventure Indie,Pack your gear wisely and go on a challenging journey to hike solo or in multiplayer  HikeJam comes with a unique feature that lets you build realworld or fantasy hiking trails out of GPX files
Hana Awase Complete,Visual Novel,Collection of all four volumes of Hana Awase for PCMac along with the series soundtrack
Haunted Hotel: Eternity - Collector's Edition,Point-and-click Puzzle Adventure,Outwit the masked mastermind running this hotel and uncover the dark secrets the professor has been hiding from the world
Hockey Manager 20|20,Simulator Sport Strategy Indie,Enjoy the state of the art hockey management Prove yourself as a manager and coach in the daytoday business of ice hockey and lead your favorite club to fame and fortune
Hernhand,Adventure Indie,A sci fi adventure where you walk through 3D spaces and listen to sounds Draws inspiration from settings such as in various scifi videogames and big empty spaces
Heliophobia,Adventure Indie,Heliophobia is a firstperson horrormystery adventure presented through a surreal nonlinear narrative You awake on a vacant plane given only a singular task kill the one with the initials JR
"Hokkaido: 4,500km",Indie,A train game where you set out to travel all over Hokkaido in the 1960s
Hero Siege: Class - Shaman,Adventure Indie,The Shaman Unlock the Shaman class
Hogoworm Dungeon,Puzzle Strategy Indie Arcade,Gather coins harness magical spells and outwit mechanical spiderbots through 100 puzzling levels
Hidden Folks,Point-and-click Puzzle Adventure Indie,Search for hidden folks in handdrawn interactive miniature landscapes Unfurl tent flaps cut through bushes slam doors and poke some crocodiles
It's Killing Time,Role-playing (RPG) Adventure Indie,Travel the world meet new people and assassinate them for money In this ultraviolent interactive novel who can you trust Who will you betray
Jigsaw Puzzle Pack: Pixel Puzzles Ultimate - PP2 Radical Roach,Simulator Sport Strategy Adventure Indie,Pixel Puzzles Ultimate redefining digital puzzling
Island Domination,Indie,A director of a large biomedicine company offers you a great contract to recover two notebooks seized at a military base
Idle Roboto,Puzzle Strategy Indie,Build levels to collect scrap metal Unlock more blocks with different purposes New robots with different reactions to them
"Human, we have a problem",Simulator Indie,Collect rocks and defend a tiny planet populated by weird spatial sheep
Hotel Blind,Simulator Indie,Hotel Blind is a simulator of a blind person in a hotel room Enter a room and complete five objectives before leaving the room
It follows you,Simulator Adventure Indie,You are all alone in this dark and frightening place Run and hide hurry to find a way out because it follows you
House of 1000 Doors: The Palm of Zoroaster - Collector's Edition,Adventure,Return to a sinister unsettled Housevery different from the one you remember
Imperi II,Simulator Strategy Indie,After you grew the province the Imperi wants you to step down You refuse and are now at war with the Imperi Will you become Emperor or will you be supplanted
Jigsaw Puzzle Pack: Pixel Puzzles Ultimate - Noel,Simulator Strategy Indie,Pixel Puzzles Ultimate redefining digital puzzling
Infinity Wings - Scout & Grunt,Indie,Infinity Wings  Scout  Grunt Take control of your chosen fighter either Scout or Grunt in this side scrolling shooter
InMaze,Adventure Indie,You woke up You dont know where you are You dont know who you are Soon you will meet your sister dead and your amazing story begun Go throught maze kill monsters and solve logic puzzles
IMM Defense,Strategy Indie,This is a classic tower defense game The alien ship is ready to invade this lovely planet We need to use various weapons to prevent them from reaching the destination
Hydorah,Shooter Indie,Hydorah is a horizontal space shooter made by indie developer Locomalito
Hyperplasm,Shooter Indie Arcade,A competitive bullet hell shooter for friends  Local multiplayer 2 to 4 players   Requires at least 1 controller 
Hyper Scuffle,Indie,Hyper Scuffle is a decidedly bizarre fighting game with fluid gameplay and a vibrant minimalist style Play as one of nine unusual fighters and brawl to be the last thing standing
JermaSlots,Simulator,JermaSlots is a slot machine simulator and minigame collection based on streamer Jerma985
Idle Cooking Emperor,Simulator Strategy,You live in a world where cooking is everything You start out weak and then train with the goal to become the best cook in the world Fight cooking battles raise fairies own restaurants become rich
Jelly Escape,Racing Indie,The adventures of the cute jelly left in search of freedom  You have to run run and use the traps and various objects to get into the black hole to take you to the next level
Infested Planet,Real Time Strategy (RTS) Strategy Tactical Indie,Command a team of 5 elite soldiers against an alien horde of 100000 Surrounded on all sides you must outmaneuver and outsmart the enemy
JASF: Jane's Advanced Strike Fighters,Simulator,Take on the massive assault of aerial ground and naval forces with only seconds to decide your fate of victory or defeat
Hungry Frog,Indie Arcade,A game about eating bugs and dodging stingers An entry into the Mini Jam 79 Frogs Jam
If One Thing Changed,Visual Novel,What would your life be like If one thing changed
Ignatius,Platform Puzzle Adventure Indie Arcade,Ignatius is a atmospheric puzzleplatformer game with an interesting story The game with its visual form and plot refers to the old silent movies
I'm On a Watcher Duty 5: Returning to Gensokyo,Point-and-click Puzzle,You got requested by Yukari to go back to Gensokyo one more time because anomalies still happening there You accepted the request and head back there immediately You now back to your duty again
Hunt: Showdown - Fear the Reaper,Shooter,This DLC contains one Legendary Hunter two Legendary weapons and one Legendary Tool The Reaper Hunter Quietus Specter 1882 Compact Memento Mori Winfield M1876 Centennial and The Scythe Throwing Axe
Iles,Racing Indie,A platform game
Hyper P.T.,Point-and-click,This is a recreation of PT done in the HyperCard software Some stuff is stripped back some stuff is added youll just have to play to find out
Hundred Swords,Real Time Strategy (RTS) Strategy,A Hundred Swords is a fantasy based strategy game with a medieval tone developed by Smilebit initially for the Sega Dreamcast and later released for the PC
Jailbreak Lockdown,Indie,Jailbreak is a fastpaced 1v1 online game where one player tries to escape prison without getting caught Play as either the convict or the warden and outsmart your opponent in this stealth battle game
Jigsaw Puzzle Pack: Pixel Puzzles Ultimate - Primates,Simulator Sport Strategy Adventure Indie,Pixel Puzzles Ultimate redefining digital puzzling
I Commissioned Some Bunnies 2,Indie,I paid artists to hide bunnies and carrots in 15 artworks Can you find them all Warning Relaxing
Humankind: Together We Rule,Strategy Turn-based strategy (TBS),Unite Humankind with the Together We Rule Expansion Pack
Instinct War,Adventure,Enter in a bitesized roguelike dungeon crawller Choose your hero and face relentless enemies through an everchaging cardbased dungeon Collect items to power up your hero to face the Instinct War
Kniffelix,Puzzle,Kniffelix is a game in which you have to solve several puzzles and collect as many points as possible which are then displayed in the highscore
Jumper Magic,Indie,Jump interact attack use your mind if necessary
Knights of the Tiny Table,Strategy Turn-based strategy (TBS) Tactical Indie,Help King Arthur and his Knights defend the realm Slay the evil entities with a combination of lucky dice rolls and clever tactics
Kokoda VR,Simulator,Experience the Kokoda story as youve never seen it before  in stunningly detailed 360degree Virtual Reality
Jumponaut,Indie,Jumponaut is a minimalist game about mastering strategic platforming
Junkyard Apocalypse,Role-playing (RPG),Junkyard Apocalypse is a fire of action and online platforms made by Scott Cawthon in 2004
LEGO Batman 3: Beyond Gotham,Platform Puzzle Adventure,The Caped Crusader joins forces with the super heroes of the DC Comics universe and blasts off to outer space to stop the evil Brainiac from destroying Earth
Kygo 'Carry Me' VR Experience,Adventure,Join superstar electronic musician Kygo in this incredible virtual reality experience inspired by the hit song Carry Me
Lava Rolling Kid,Adventure Indie,Lava Rolling Kid is an arcade adventure platformer inspired by classic retro games Focusing on innovation we have given the game a modern feel so that gamers can play time and time again
Laraan,Platform Puzzle Adventure Indie,Laraan is a ScienceFiction game about exploration in a desolate world Created with a minimalist low poly style Accompanied by a splendid movie soundtrack
LEGO Marvel's Avengers: Marvel's Captain America - Civil War Character Pack,Adventure,Heroes once united now find themselves divided This pack features 9 playable characters starring in the actionpacked theatrical blockbuster
Leave the Red,Indie,Puzzle based firstperson horror game set on escaping an isolated castle from a powerful reddressed witch Features soundoriented stealth mechanics and physicsbased puzzles to escape her bloody clutches
League of Pixels,Fighting Strategy Indie,League of Pixels is a fast paced pixel art approach on the MOBA genre with an average game length of 510 minutes
Lachesis or Atropos,Adventure Indie Visual Novel,This world is woven of strings of fate and of hate What do you see detective A horrormystery yuri visual novel peering into the maddening darkness of love and death
League of Light: Silent Mountain - Collector's Edition,Adventure,Solve the mysteries of Stoneville and escape with your life
Laser Squad Nemesis,Strategy Turn-based strategy (TBS) Tactical,A turnbased strategy game and sequel to the original 1988 Laser Squad
Laxius Party,Role-playing (RPG),2005 the year Blades of Heaven was released on Windows Made by Laxius Power and published by Laxius Power this roleplaying rpg game is available for free
Legacy of Epstein: Bad Omen,Adventure Indie,Juglio encounters the Splendor Man What happens next is unthinkable
Jigsaw Puzzle Pack: Pixel Puzzles Ultimate - Variety Pack 1,Simulator Sport Strategy Indie,Pixel Puzzles Ultimate redefining digital puzzling
John's Wizard Tower,Indie,Johns Wizard dungeon is a VR escape room where the player will have 5 minutes to collect clues decipher a code and steal the elixir of life
LEGO Alpha Team,Puzzle,Based on the LEGO toy line of the same name Solve puzzles and lead the Alpha Team to thwart the evil Ogels plans for world domination
Jumble Blocks,Puzzle,Block matching game from Jayenkai
Knight Runaway,Indie,Knight Runaway is a platformer filled with various mechanisms and levels each of which challenges the skills and nerves of the player
Kitari and Kimoshi,Adventure Indie,Kitari and Kimoshi is a story about two girls who meet for the very first time through unusual circumstances Click through the manga pages and make choices that affect the flow of the story
Klym,Platform Puzzle Adventure Indie,Klym is a warm 3Dplatformer about climbing buildings and bringing ducklings back to their mother
Laseronium: The Line,Indie,This is a game connected with physics so if youre not into optics and that kind of stuff this isnt a game for you Just kidding  this is a game for everyone
Just Ski,Simulator Sport Indie,A challenging pick up and play minimalist skiing game powered by physics
Judge Dredd Pinball,Pinball,Based on the original Judge Dredd pinball machine this computer version adds some new things to the game to increase the games appeal
Kingdom Rush Origins,Real Time Strategy (RTS) Strategy Indie,The third installment in the popular tower defense series Kingdom Rush
Klass of '99,Simulator Adventure,An unofficial remake of Skool Daze a ZX Spectrum game from 1985
Just Spin,Indie,A minimalist arcade game with a challenging twist
Keep looking,Strategy,Introduction This is a game that can bring you more fun when you are bored and unhappy
LBreakoutHD,Arcade,LBreakoutHD is a breakout clone written by Michael Speck and is a remake of LBreakout2 with improved graphics The gameplay of LBreakout2 is mostly preserved and it includes all levels from LBreakout2
Lysfangha,Hack and slash Adventure,Embody the demigoddess Imë and purify the temple where the Lysfangha is kept Using your temporal powers duplicate yourself by going back in time Cooperate with your clones to repel the invasion
Longhaus,Strategy,Defend your home on a floating island
Little Terror,Adventure Indie,Little Terror is an interactive exploration Horror simulator Interrogate every detail of a seemingly normal house to discover the story of the people who live there
Magic Tower 3D,Role-playing (RPG) Strategy Adventure Indie,Experience classic dungeon RPG in 3D Challenge yourself by walking through 22 carefully designed levels and battling with over 40 cool looking blocky style enemies
Marauder,Role-playing (RPG) Strategy,Marauder is a squad based and tactical 3D game with RPG elements It was released in late 2009 in Russia You may know these names as the former made Brigade 762 and the later also published Pathologic
Letters to the Metro,Puzzle Adventure Indie,In the middle of a lonely night the man remembers home
Mambo Wave,Platform Hack and slash Adventure Indie,Mambo Wave  a 2D Platform Shooter which takes place somewhere in Spain in the 90s Your mission is simple to advance behind enemy lines destroying them all with the help of a cool and varied arsenal
Let's Ride!: Dreamer,Simulator,Lets Ride Dreamer is an Adventure game developed by Kritzelkratz and published by DTP Entertainment which was released in 2005
Lilei and Han Meimei,Simulator Indie,A campus simulation game full of tons of surprising interactive gameplay elements along the way
Life in Bunker,Simulator Strategy Indie,Youve been elected as the new Bunker Warden Now you must take control over a group of fellow bunker residents and try to make them last until the surface becomes habitable
Madotsuki's Story,Platform,Madotsukis Story is a sidescrolling platformeresque Yume Nikki fangame created for the 2017 Dream Diary Jam The goal is to explore the dream world and collect effects
Let It Slide,Adventure Indie,Drag to move Cat Mermaid through obstacles and find the legendary Fishburger Remember its not you suffering its Cat Mermaid
Little Drift,Racing,Little drift is a racing game The goal of the game is to score the most points There are 4 levels available In the presence of 9 cars with tuning
Madden NFL 06,Simulator Sport,Play and manage football matches between real NFL teams featuring the latest player lineups of 2006
Lucid Nina,Role-playing (RPG) Adventure Indie,Nina is so full of problems that she barely recognizes herselfTry to understand her world views and beliefs from her perspective and guide her through her dreams
Mahjong Magic Journey 3,Puzzle Strategy Card & Board Game,An unforgettable journey through a magical world Go in search of magical artifacts Complete 120 unique levels of Mahjong
LightQuest,Adventure Indie,Among the ruins of civilization a light creature arises  The world is in chaos  and youre the only only one able to stop it
Lost Cosmonaut,Indie,Rejoice comrades For you have survived the crash landing Become lost on a randomly generated planet in Lost Cosmonaut an action platformer with roguelike elements
Loot Run,Role-playing (RPG) Adventure Indie,Loot Run is a roleplaying game featuring epic story infinite skill builds legendary loot challenging bosses endless and hardcore modes 50 quests to complete unique skins to unlock and more
Magical Deathpair,Adventure,16 Witches 8 Couples Game to escape death Hunt down the Imposter Save the world from impending catastrophe Life and death adventure game for those who love charming witches
Magical Battle Arena Next,Fighting Indie,Magical Battle Arena Complete Form is a 3D air combat crossover fighting game starring Touhou characters and magical girl anime characters
Magic Pot&ter Battlegrounds,Adventure Indie,Fight in pvp go through a maze with traps
Lumexa,Strategy Indie,Lumexa is a Connecting Points Puzzlegame that involves you in a minimalist atmosphere Enjoy the neon lights and the good vibes in a delightful experience only with hexagon blocks
Locoland,Real Time Strategy (RTS) Strategy Indie,Colorful crazy world of a fantastic planet Bizarre plants strange landscapes Under these unusual conditions there arose steamrobots civilization But theres no peace there  robots are at war
Long Count,Adventure Indie,Sierrastyle Point  Click Adventure
Maria: Kimitachi ga Umareta Wake,Adventure,An adventure game for the PlayStation and Saturn about a psychiatrist attempting to treat a woman with Dissociative Identity Disorder
Mall Maniacs,Racing Simulator,A advertisement game where the player races to pick up groceries faster then everyone else and make it back to the register to win
Loner,Simulator Adventure Indie,This is a story about one student Aline who sincerely believes and dreams to prove everyone  aliens exist But all that she gets is insults of her mates that dont take her seriously
Love Chronicles: The Spell - Collector's Edition,Adventure,Remove an evil curse that has caused a whole kingdom to be trapped in their dreams Save a beautiful princess before its too late
Madorica Real Estate,Puzzle Adventure Indie,The study material for Madorica Real Estate would be the floorplan for the corresponding house of the game stage
Loop,Music Puzzle Adventure Indie,Welcome to Loop Loop is a firstperson comedy game based around completing laps around a test track What will happen to you in the Loop
Lost in the Static,Platform,Lost in the Static is a simple little game that uses some surprising aspects of the human perceptual system to create a visible world out of animating static
Life is 2-D,Adventure Indie,Life is TwoDimensional A Gameboy What if is a fanmade 2D gameboy version of the original Life is Strange
Maze: Sinister Play - Collector's Edition,Adventure,Can you stop a deadly evil waiting in an abandoned school
Master of Rogues - The Seven Artifacts,Role-playing (RPG) Adventure Indie,DungeonCrawler Roguelikelike RPG
Maze Art: Purple,Indie,Maze Art Purple  is a minimalist game of simple mazes with relaxing music
MegaGlest,Real Time Strategy (RTS) Strategy Indie,MegaGlest is a classic 3D real time strategy RTS game where you control the armies of one of seven different factions Tech Magic Egypt Indians Norsemen Persian or Romans
Meow Lab,Puzzle,You are an extraordinarily brilliant scientist but your cat doesnt know that he just wants some food and care Move rotate connect the blocks correctly and give the kitten some food
Massive Assault Network,Strategy Turn-based strategy (TBS),Turnbased multiplayer strategy game
Mech Anarchy,Strategy Indie Card & Board Game,Mech Anarchy is an action packed fastpaced top down shooter created by intense gamers for intense gamers Arcade style shooting with near limitless customization makes no two battles alike
Marrakech,Adventure Indie,There is a doctor possessed by demons inside Marrakech hospital he is invoking evil creatures Pacientes inside need your help Use a blessed Ak and defeat the creatures that comes your way
Minecraft: Greek Mythology Mash-up,Simulator Adventure,Build a pantheon fit for the gods trap the Minotaur in an elaborate maze or set sail for adventures across the sea The world is your square oyster
Monsti,Platform Indie,Playing Monsti is easy all you have to do is to click and fly for as much time as you can There will be many obstacles that come your way and you have to do all in your power in order to avoid them
Mega Serval,Adventure,Servals friends are in danger and its up to her to save the day Progress through 12 actionpacked platforming stages in this Kemono Friends Project derivative work
Momo is Here,Adventure Indie,The doors are locked no one answers and definitely wont help Your task is to get out and not let yourself be caught Solve puzzles escape from Momos persecution and get out of this nightmare
Master of the Forbidden Sea,Role-playing (RPG) Adventure Indie,Enter the waters of the Forbidden Sea Dive to the bottom and collect 12artifacts Avoid starvation battle strange monsters and voyage past the point of no return
Midnight Dash,Adventure Indie,Midnight Dash is an difficult 2D platformer It tells the story about Sean and Piu the light source
Metaphobia,Point-and-click Adventure Indie,Metaphobia is a dark mystery detective story inspired by classic adventure games from the 90s The game has been created with passion not credit cards so it is completely FREE TO PLAY
Microsoft Flight Simulator X: Steam Edition - FS Academy: Air Race,Racing Simulator,FS Academy  Air Race puts you in the pilots seat for thrilling headtohead racing around 5 challenging and unique race courses
MayhemCars2,Racing Arcade,Race across procedurally generated tracks with thousands of cars to unleash total mayhem and destruction At every corner our super AI will make you feel like they will much rather destroy you than win
Mega Roller Ball,Strategy Indie,A challenging 3d obstacle platformer game Where you play asa ball But not just a ball A MEGA ROLLER BALL
Monotonia: First Contact,Platform Simulator Adventure,Monotonia First Contact is a prologueformat experience free and essential to pave the challenging and definitive cycle of MONOTONY Work pay your bills and survive
Marvel Avengers Alliance Tactics,Strategy,Marvel Avengers Alliance Tactics is a tactics RPG spinoff of the popular Facebookmobile social RPG
Monsterwolf,Strategy Indie,This is a turnbased SRPG game with a game duration of about 2 hours You can use the characteristics of each character in the game to use different tactics to defeat the enemy
